sample,adc,filtered,lead_off
0,6123,-0.000,0
1,6215,0.202,0
2,6333,1.809,0
3,6449,8.030,0
4,6476,23.824,0
5,6407,53.461,0
6,6343,97.095,0
7,6327,149.130,0
8,6337,200.140,0
9,6363,241.002,0
10,6352,266.268,0
11,6233,274.788,0
12,6091,267.587,0
13,5954,245.034,0
14,5869,205.878,0
15,5844,148.823,0
16,5856,75.157,0
17,5920,-9.560,0
18,6036,-95.642,0
19,6091,-171.018,0
20,6124,-224.170,0
21,6156,-247.475,0
22,6184,-239.212,0
23,6175,-203.396,0
24,6142,-148.309,0
25,6082,-84.869,0
26,5991,-25.088,0
27,5900,19.470,0
28,5877,39.518,0
29,5940,30.421,0
30,6041,-5.386,0
31,6142,-57.657,0
32,6256,-110.574,0
33,6307,-147.367,0
34,6311,-155.470,0
35,6311,-130.380,0
36,6302,-76.627,0
37,6314,-5.480,0
38,6331,69.337,0
39,6343,135.884,0
40,6360,186.664,0
41,6376,219.266,0
42,6396,235.505,0
43,6409,239.857,0
44,6424,237.759,0
45,6465,234.292,0
46,6509,233.538,0
47,6511,238.440,0
48,6464,250.364,0
49,6383,268.132,0
50,6290,287.353,0
51,6229,301.067,0
52,6172,301.869,0
53,6154,284.559,0
54,6135,248.038,0
55,6125,195.684,0
56,6126,134.230,0
57,6084,71.726,0
58,6065,15.291,0
59,6028,-30.615,0
60,5996,-64.799,0
61,5959,-88.919,0
62,5901,-106.544,0
63,5803,-122.248,0
64,5684,-141.103,0
65,5565,-168.374,0
66,5497,-208.777,0
67,5479,-264.979,0
68,5462,-335.948,0
69,5438,-416.519,0
70,5444,-498.795,0
71,5504,-574.295,0
72,5577,-635.358,0
73,5648,-675.696,0
74,5668,-691.019,0
75,5635,-680.271,0
76,5586,-646.936,0
77,5554,-599.179,0
78,5527,-548.040,0
79,5524,-504.336,0
80,5536,-475.733,0
81,5539,-465.068,0
82,5515,-470.458,0
83,5472,-487.012,0
84,5430,-509.247,0
85,5413,-532.901,0
86,5410,-555.447,0
87,5407,-575.589,0
88,5406,-592.637,0
89,5427,-606.176,0
90,5453,-615.828,0
91,5461,-620.999,0
92,5467,-620.929,0
93,5464,-615.134,0
94,5469,-603.877,0
95,5467,-588.303,0
96,5466,-570.270,0
97,5492,-551.939,0
98,5546,-535.052,0
99,5641,-519.918,0
100,5768,-504.481,0
101,5913,-484.061,0
102,6015,-452.207,0
103,6084,-402.819,0
104,6178,-332.727,0
105,6312,-242.971,0
106,6525,-137.659,0
107,6822,-20.949,0
108,7225,106.307,0
109,7701,248.805,0
110,8192,416.902,0
111,8634,624.056,0
112,8942,881.893,0
113,9046,1194.125,0
114,8853,1550.939,0
115,8333,1925.338,0
116,7547,2272.734,0
117,6622,2535.160,0
118,5779,2651.012,0
119,5152,2569.532,0
120,4758,2266.456,0
121,4577,1754.935,0
122,4562,1086.710,0
123,4669,342.641,0
124,4842,-384.068,0
125,5014,-1006.705,0
126,5152,-1461.201,0
127,5233,-1716.332,0
128,5271,-1776.318,0
129,5288,-1675.893,0
130,5292,-1469.539,0
131,5278,-1217.982,0
132,5226,-975.647,0
133,5181,-782.007,0
134,5165,-657.831,0
135,5133,-605.759,0
136,5103,-614.290,0
137,5098,-663.932,0
138,5119,-733.426,0
139,5153,-804.176,0
140,5186,-862.456,0
141,5223,-899.936,0
142,5257,-913.187,0
143,5270,-902.720,0
144,5281,-872.038,0
145,5259,-826.923,0
146,5216,-774.863,0
147,5192,-724.322,0
148,5176,-683.422,0
149,5174,-658.043,0
150,5187,-650.186,0
151,5201,-657.441,0
152,5229,-673.836,0
153,5236,-691.763,0
154,5237,-704.321,0
155,5259,-707.260,0
156,5301,-699.590,0
157,5343,-682.663,0
158,5362,-658.638,0
159,5366,-629.523,0
160,5378,-597.078,0
161,5374,-563.064,0
162,5369,-529.419,0
163,5369,-498.300,0
164,5372,-471.881,0
165,5396,-451.803,0
166,5411,-438.472,0
167,5407,-430.710,0
168,5406,-426.160,0
169,5404,-422.237,0
170,5421,-416.949,0
171,5426,-409.246,0
172,5421,-399.043,0
173,5437,-387.133,0
174,5457,-374.776,0
175,5484,-362.921,0
176,5505,-351.531,0
177,5499,-339.593,0
178,5465,-325.941,0
179,5416,-310.526,0
180,5387,-295.224,0
181,5389,-283.408,0
182,5409,-278.300,0
183,5399,-281.218,0
184,5398,-290.971,0
185,5399,-304.575,0
186,5404,-318.428,0
187,5419,-329.262,0
188,5433,-334.747,0
189,5444,-333.783,0
190,5455,-326.535,0
191,5477,-314.190,0
192,5474,-298.429,0
193,5466,-280.957,0
194,5478,-263.311,0
195,5503,-246.669,0
196,5529,-231.497,0
197,5552,-217.395,0
198,5591,-203.355,0
199,5621,-188.167,0
200,5619,-170.748,0
201,5607,-150.611,0
202,5608,-128.319,0
203,5608,-105.439,0
204,5617,-83.921,0
205,5611,-65.440,0
206,5616,-51.093,0
207,5638,-41.325,0
208,5675,-35.718,0
209,5713,-32.669,0
210,5751,-29.402,0
211,5795,-22.557,0
212,5841,-9.078,0
213,5884,12.997,0
214,5923,44.081,0
215,5951,82.956,0
216,5963,127.030,0
217,5968,172.844,0
218,5985,216.728,0
219,5995,255.600,0
220,6019,287.637,0
221,6040,312.528,0
222,6081,331.303,0
223,6113,345.935,0
224,6142,358.856,0
225,6169,372.404,0
226,6172,388.305,0
227,6178,407.274,0
228,6166,428.799,0
229,6164,451.214,0
230,6162,472.100,0
231,6168,488.970,0
232,6193,500.048,0
233,6228,504.970,0
234,6261,505.172,0
235,6288,503.635,0
236,6306,503.974,0
237,6304,509.180,0
238,6240,520.390,0
239,6148,535.845,0
240,6046,550.492,0
241,5946,556.864,0
242,5832,547.161,0
243,5729,515.492,0
244,5643,459.393,0
245,5588,380.406,0
246,5575,283.921,0
247,5586,178.437,0
248,5568,74.211,0
249,5507,-18.940,0
250,5392,-94.400,0
251,5269,-150.984,0
252,5160,-193.317,0
