sample,adc,filtered,lead_off
0,6641,-0.000,0
1,6711,0.154,0
2,6780,1.331,0
3,6820,5.654,0
4,6832,15.988,0
5,6839,34.378,0
6,6836,60.703,0
7,6839,92.496,0
8,6854,125.833,0
9,6878,156.745,0
10,6905,182.481,0
11,6922,202.125,0
12,6937,216.404,0
13,6940,226.967,0
14,6958,235.605,0
15,6976,243.810,0
16,6984,252.674,0
17,6982,262.816,0
18,6988,274.167,0
19,6984,285.907,0
20,6988,296.721,0
21,7009,305.317,0
22,7048,311.096,0
23,7113,314.788,0
24,7172,318.730,0
25,7199,326.354,0
26,7205,340.809,0
27,7203,363.328,0
28,7202,392.423,0
29,7197,424.372,0
30,7189,454.537,0
31,7200,478.780,0
32,7235,494.598,0
33,7287,501.883,0
34,7327,503.071,0
35,7354,502.360,0
36,7367,504.172,0
37,7361,511.553,0
38,7362,525.227,0
39,7386,543.670,0
40,7430,564.189,0
41,7489,584.453,0
42,7550,603.625,0
43,7563,622.500,0
44,7557,642.526,0
45,7530,664.311,0
46,7515,686.690,0
47,7519,707.016,0
48,7526,722.382,0
49,7546,730.917,0
50,7581,732.474,0
51,7626,728.689,0
52,7684,722.665,0
53,7741,718.432,0
54,7780,720.162,0
55,7810,731.156,0
56,7831,752.813,0
57,7857,784.114,0
58,7889,821.911,0
59,7916,861.936,0
60,7943,900.017,0
61,7948,933.002,0
62,7943,959.103,0
63,7948,977.726,0
64,7909,989.077,0
65,7844,993.529,0
66,7792,990.779,0
67,7749,979.503,0
68,7717,958.015,0
69,7695,925.468,0
70,7677,882.773,0
71,7652,832.761,0
72,7621,779.534,0
73,7582,727.275,0
74,7550,679.071,0
75,7525,636.266,0
76,7517,598.605,0
77,7494,564.935,0
78,7443,533.865,0
79,7376,503.908,0
80,7296,473.204,0
81,7229,439.442,0
82,7201,400.335,0
83,7188,354.627,0
84,7173,302.989,0
85,7168,248.075,0
86,7155,193.704,0
87,7132,143.733,0
88,7105,101.050,0
89,7073,66.935,0
90,7045,40.923,0
91,7033,21.145,0
92,7030,5.056,0
93,7022,-9.724,0
94,7010,-24.832,0
95,6996,-41.025,0
96,6973,-58.331,0
97,6958,-76.286,0
98,6952,-94.160,0
99,6953,-111.100,0
100,6962,-126.225,0
101,6984,-138.741,0
102,6983,-148.023,0
103,6947,-153.836,0
104,6904,-156.798,0
105,6848,-158.723,0
106,6791,-162.422,0
107,6728,-171.048,0
108,6688,-187.381,0
109,6684,-213.102,0
110,6704,-248.002,0
111,6720,-289.426,0
112,6749,-332.509,0
113,6807,-371.168,0
114,6894,-399.181,0
115,7009,-410.893,0
116,7131,-401.694,0
117,7264,-368.555,0
118,7383,-310.602,0
119,7537,-229.379,0
120,7750,-128.229,0
121,8027,-10.536,0
122,8396,122.604,0
123,8842,274.169,0
124,9349,451.611,0
125,9810,665.377,0
126,10136,925.240,0
127,10220,1234.732,0
128,9984,1584.942,0
129,9436,1949.784,0
130,8598,2284.981,0
131,7657,2532.386,0
132,6791,2630.163,0
133,6126,2527.595,0
134,5721,2200.653,0
135,5573,1662.840,0
136,5610,966.930,0
137,5741,196.303,0
138,5923,-551.956,0
139,6095,-1187.245,0
140,6229,-1643.241,0
141,6313,-1889.011,0
142,6336,-1931.556,0
143,6324,-1810.155,0
144,6262,-1584.718,0
145,6197,-1321.428,0
146,6138,-1079.134,0
147,6088,-899.282,0
148,6059,-801.192,0
149,6058,-783.025,0
150,6066,-827.190,0
151,6088,-907.981,0
152,6100,-999.162,0
153,6108,-1079.675,0
154,6110,-1136.545,0
155,6093,-1165.051,0
156,6068,-1167.115,0
157,6049,-1149.009,0
158,6046,-1119.082,0
159,6060,-1085.746,0
160,6091,-1055.841,0
161,6103,-1033.563,0
162,6098,-1020.166,0
163,6069,-1014.515,0
164,6031,-1014.170,0
165,6006,-1016.517,0
166,6014,-1019.476,0
167,6023,-1021.673,0
168,6015,-1022.386,0
169,5989,-1021.730,0
170,5965,-1020.866,0
171,5956,-1021.628,0
172,5951,-1025.411,0
173,5960,-1032.065,0
174,5981,-1039.587,0
175,6000,-1044.821,0
176,6011,-1044.786,0
177,6024,-1037.965,0
178,6034,-1024.851,0
179,6028,-1007.469,0
180,6009,-988.363,0
181,5976,-969.775,0
182,5949,-953.377,0
183,5948,-940.362,0
184,5965,-931.483,0
185,5989,-926.852,0
186,6001,-925.765,0
187,6000,-926.795,0
188,5989,-928.156,0
189,5966,-928.143,0
190,5948,-925.532,0
191,5941,-919.904,0
192,5941,-911.752,0
193,5938,-902.372,0
194,5938,-893.563,0
195,5936,-887.135,0
196,5943,-884.217,0
197,5937,-884.624,0
198,5929,-886.738,0
199,5947,-888.095,0
200,5978,-886.237,0
201,6001,-879.369,0
202,6002,-866.826,0
203,5971,-849.478,0
204,5946,-829.810,0
205,5930,-811.267,0
206,5926,-796.913,0
207,5921,-788.185,0
208,5905,-784.619,0
209,5888,-784.698,0
210,5870,-787.083,0
211,5863,-791.333,0
212,5880,-797.614,0
213,5925,-805.631,0
214,5949,-813.543,0
215,5959,-817.918,0
216,5959,-815.070,0
217,5960,-802.899,0
218,5955,-782.010,0
219,5952,-755.584,0
220,5949,-728.223,0
221,5958,-704.315,0
222,5979,-686.519,0
223,5993,-674.935,0
224,6017,-667.322,0
225,6053,-660.215,0
226,6097,-650.199,0
227,6141,-634.785,0
228,6179,-612.749,0
229,6206,-584.065,0
230,6187,-549.720,0
231,6153,-511.720,0
232,6128,-473.208,0
233,6123,-438.137,0
234,6130,-410.265,0
235,6140,-392.015,0
236,6147,-383.824,0
237,6148,-384.207,0
238,6161,-390.283,0
239,6175,-398.392,0
240,6195,-404.674,0
241,6213,-405.719,0
242,6228,-399.295,0
243,6248,-384.928,0
244,6257,-363.980,0
245,6253,-339.175,0
246,6236,-313.838,0
247,6210,-291.143,0
248,6200,-273.538,0
249,6214,-262.281,0
250,6224,-257.152,0
251,6219,-256.617,0
252,6206,-258.661,0
253,6181,-261.810,0
254,6142,-265.678,0
255,6100,-270.886,0
256,6049,-278.609,0
257,5992,-290.094,0
258,5930,-306.468,0
259,5863,-328.794,0
260,5795,-358.170,0
261,5710,-395.650,0
262,5621,-441.998,0
263,5533,-497.398,0
264,5459,-561.149,0
265,5409,-631.416,0
266,5367,-705.188,0
267,5318,-778.681,0
268,5265,-848.250,0
269,5218,-911.414,0
270,5174,-967.314,0
271,5138,-1016.355,0
272,5085,-1059.446,0
273,5006,-1097.548,0
274,4933,-1131.865,0
275,4870,-1164.246,0
276,4835,-1197.062,0
277,4801,-1232.412,0
278,4749,-1271.260,0
279,4694,-1313.209,0
280,4641,-1356.905,0
281,4613,-1400.552,0
282,4602,-1442.123,0
283,4613,-1479.354,0
284,4622,-1509.852,0
285,4631,-1531.513,0
286,4629,-1543.102,0
287,4612,-1544.692,0
288,4587,-1537.747,0
289,4587,-1524.769,0
290,4609,-1508.480,0
291,4626,-1490.831,0
292,4627,-1472.559,0
293,4614,-1453.693,0
294,4586,-1434.516,0
295,4550,-1416.184,0
296,4537,-1400.570,0
297,4517,-1389.420,0
298,4500,-1383.454,0
299,4492,-1382.080,0
300,4496,-1383.764,0
301,4512,-1386.555,0
302,4529,-1388.461,0
303,4555,-1387.612,0
304,4546,-1382.372,0
305,4517,-1371.672,0
306,4496,-1355.574,0
307,4486,-1335.543,0
308,4485,-1314.004,0
309,4499,-1293.467,0
310,4507,-1275.728,0
311,4506,-1261.474,0
312,4502,-1250.351,0
313,4501,-1241.303,0
314,4493,-1232.906,0
315,4488,-1223.701,0
316,4477,-1212.622,0
317,4454,-1199.437,0
318,4439,-1185.036,0
319,4437,-1171.247,0
320,4432,-1160.045,0
321,4424,-1152.587,0
322,4424,-1148.687,0
323,4427,-1146.896,0
324,4445,-1144.981,0
325,4461,-1140.563,0
326,4472,-1131.767,0
327,4476,-1117.748,0
328,4465,-1098.949,0
329,4449,-1076.977,0
330,4433,-1054.118,0
331,4415,-1032.690,0
332,4410,-1014.457,0
333,4419,-1000.284,0
334,4429,-990.030,0
335,4430,-982.695,0
336,4422,-976.874,0
337,4402,-971.317,0
338,4376,-965.336,0
339,4363,-958.886,0
340,4365,-952.296,0
341,4392,-945.770,0
342,4432,-938.886,0
343,4463,-930.424,0
344,4471,-918.717,0
345,4468,-902.446,0
346,4457,-881.382,0
347,4453,-856.549,0
348,4463,-829.770,0
349,4493,-802.867,0
350,4529,-776.944,0
351,4560,-752.084,0
352,4567,-727.624,0
353,4549,-702.876,0
354,4535,-677.845,0
355,4519,-653.432,0
356,4516,-630.988,0
357,4533,-611.597,0
358,4560,-595.510,0
359,4587,-581.965,0
360,4606,-569.471,0
361,4615,-556.385,0
362,4623,-541.438,0
363,4630,-523.947,0
364,4620,-503.755,0
365,4608,-481.242,0
366,4595,-457.496,0
367,4583,-434.395,0
368,4579,-414.304,0
369,4588,-399.392,0
370,4595,-390.742,0
371,4603,-387.735,0
372,4608,-388.098,0
373,4601,-388.650,0
374,4597,-386.461,0
375,4597,-379.902,0
376,4602,-369.057,0
377,4628,-355.333,0
378,4679,-340.420,0
379,4713,-325.076,0
380,4713,-308.577,0
381,4685,-289.451,0
382,4658,-267.001,0
383,4629,-242.386,0
384,4617,-218.549,0
385,4604,-199.159,0
386,4595,-187.269,0
387,4578,-184.316,0
388,4562,-189.817,0
389,4567,-201.619,0
390,4595,-216.387,0
391,4629,-230.067,0
392,4647,-238.542,0
393,4667,-238.623,0
394,4685,-228.956,0
395,4688,-210.273,0
396,4688,-184.933,0
397,4693,-156.111,0
398,4694,-126.926,0
399,4700,-99.775,0
400,4698,-76.109,0
401,4698,-56.609,0
402,4685,-41.527,0
403,4659,-30.970,0
404,4638,-25.057,0
405,4636,-23.798,0
406,4651,-26.649,0
407,4681,-32.037,0
408,4709,-37.318,0
409,4728,-39.395,0
410,4741,-35.734,0
411,4751,-25.216,0
412,4743,-8.385,0
413,4725,12.856,0
414,4703,35.754,0
415,4695,57.284,0
416,4695,74.811,0
417,4696,86.679,0
418,4700,92.497,0
419,4691,93.002,0
420,4681,89.649,0
421,4680,84.159,0
422,4698,78.304,0
423,4712,73.937,0
424,4717,72.896,0
425,4711,76.489,0
426,4700,84.815,0
427,4694,96.484,0
428,4692,109.094,0
429,4696,120.222,0
430,4700,128.397,0
431,4699,133.524,0
432,4700,136.613,0
433,4712,139.094,0
434,4744,142.267,0
435,4777,147.208,0
436,4777,154.875,0
437,4754,165.875,0
438,4729,179.877,0
439,4712,195.309,0
440,4718,209.823,0
441,4729,221.296,0
442,4765,228.735,0
443,4788,232.683,0
444,4787,234.928,0
445,4778,237.613,0
446,4783,242.271,0
447,4807,249.510,0
448,4847,259.490,0
449,4880,272.533,0
450,4885,289.191,0
451,4894,309.607,0
452,4909,332.901,0
453,4915,357.273,0
454,4921,380.738,0
455,4946,401.865,0
456,4970,420.253,0
457,4976,436.568,0
458,4960,451.926,0
459,4936,466.836,0
460,4901,480.448,0
461,4860,490.618,0
462,4804,494.637,0
463,4760,490.115,0
464,4741,475.740,0
465,4749,451.903,0
466,4762,421.023,0
467,4773,387.232,0
468,4771,355.314,0
469,4719,329.258,0
470,4640,310.828,0
471,4556,298.696,0
472,4487,288.704,0
473,4436,275.377,0
474,4405,253.941,0
475,4385,221.932,0
476,4379,179.860,0
477,4387,130.977,0
478,4410,80.505,0
479,4458,34.692,0
480,4486,-0.184,0
481,4460,-19.113,0
482,4414,-20.111,0
483,4378,-5.582,0
484,4367,18.010,0
485,4365,42.418,0
486,4353,60.530,0
487,4349,68.348,0
488,4357,65.503,0
489,4378,54.694,0
490,4405,40.598,0
491,4435,28.515,0
492,4453,23.000,0
493,4454,26.738,0
494,4439,39.917,0
495,4398,60.220,0
496,4351,83.389,0
497,4316,104.236,0
498,4313,117.993,0
